user_id,action
4800,READ
3585,UPDATE
4897,UPDATE
9940,LOGOUT
5079,READ
5740,DELETE
9430,CREATE
279,LOGIN
5634,READ
1653,READ
4767,LOGOUT
8832,LOGOUT
3086,CREATE
9131,DELETE
8503,LOGIN
6506,LOGIN
8481,DELETE
1888,LOGOUT
1201,DELETE
1373,CREATE
4413,READ
1124,LOGIN
1102,READ
9622,READ
7729,DELETE
6543,CREATE
6733,READ
8803,CREATE
8551,DELETE
1721,READ
19,CREATE
7509,LOGOUT
1806,DELETE
7212,READ
1690,LOGIN
4919,DELETE
8150,LOGOUT
2366,DELETE
8349,DELETE
5240,CREATE
9988,DELETE
9330,DELETE
4907,LOGIN
181,DELETE
483,DELETE
9907,DELETE
4945,DELETE
588,LOGOUT
6685,LOGOUT
7963,DELETE
1788,READ
5728,READ
3187,DELETE
4308,CREATE
2127,UPDATE
4200,READ
4204,UPDATE
1648,CREATE
8386,LOGOUT
9239,READ
869,READ
4073,READ
3095,CREATE
162,READ
1554,CREATE
9137,UPDATE
9078,LOGIN
4666,CREATE
1315,LOGIN
7076,DELETE
5280,LOGIN
8891,READ
153,CREATE
206,DELETE
848,READ
1797,UPDATE
3174,UPDATE
7398,LOGIN
9015,LOGOUT
9134,READ
6809,CREATE
3661,DELETE
9599,READ
7910,CREATE
6531,LOGOUT
5213,LOGIN
9783,LOGOUT
9553,LOGIN
8434,READ
6974,UPDATE
3144,CREATE
7585,LOGOUT
629,LOGOUT
1258,CREATE
8225,LOGIN
9622,CREATE
7769,UPDATE
4349,CREATE
2998,DELETE
1083,LOGOUT
1474,READ
1069,LOGOUT
7783,LOGIN
5116,UPDATE
7772,READ
3346,CREATE
1233,LOGIN
6639,UPDATE
3911,DELETE
9456,DELETE
6062,CREATE
9808,LOGOUT
9396,LOGIN
3605,LOGOUT
4682,READ
58,LOGIN
5818,READ
5798,LOGIN
3974,CREATE
8397,READ
5217,READ
7728,UPDATE
4338,LOGIN
6459,READ
8644,READ
2897,UPDATE
2353,LOGOUT
1664,CREATE
599,LOGOUT
1185,LOGOUT
2467,CREATE
4285,LOGIN
9586,CREATE
9262,READ
8614,LOGIN
6396,LOGOUT
8174,CREATE
2715,READ
3062,LOGIN
6343,DELETE
7069,CREATE
1526,LOGOUT
8783,UPDATE
13,LOGIN
1357,LOGIN
4820,LOGIN
9622,LOGOUT
2046,UPDATE
1720,READ
2323,DELETE
4013,READ
239,UPDATE
8078,LOGOUT
3308,READ
3616,DELETE
5846,DELETE
3452,DELETE
5780,READ
5368,LOGOUT
5365,READ
874,LOGIN
8500,READ
6476,DELETE
9578,LOGOUT
8945,LOGOUT
2623,DELETE
4981,READ
8628,UPDATE
9457,CREATE
7432,DELETE
8294,READ
9034,CREATE
8738,CREATE
1479,UPDATE
3930,UPDATE
3232,DELETE
8733,CREATE
97,READ
7318,DELETE
7665,DELETE
2623,LOGIN
2274,LOGIN
5465,READ
6190,LOGOUT
971,READ
4135,READ
5659,CREATE
5932,LOGIN
8768,CREATE
5559,LOGIN
8468,UPDATE
2581,DELETE
5209,LOGIN
5172,LOGIN
5051,DELETE
7673,LOGOUT
9640,LOGOUT
3559,LOGIN
3369,CREATE
1488,UPDATE
969,READ
9099,CREATE
4568,UPDATE
4216,LOGIN
2627,DELETE
2995,UPDATE
833,READ
4901,LOGIN
1915,LOGOUT
3034,CREATE
5852,READ
651,LOGIN
4294,UPDATE
723,CREATE
2826,CREATE
627,UPDATE
2148,READ
633,READ
4235,READ
9982,READ
7598,LOGIN
9052,CREATE
5942,CREATE
3495,UPDATE
8328,UPDATE
8520,DELETE
308,UPDATE
4206,LOGOUT
7460,LOGIN
7759,READ
2513,UPDATE
9933,LOGOUT
1223,READ
4220,LOGIN
616,READ
3162,LOGIN
6683,LOGOUT
404,LOGOUT
705,DELETE
376,DELETE
1394,UPDATE
9803,DELETE
8198,CREATE
7351,LOGIN
4973,DELETE
5105,UPDATE
1085,LOGIN
5028,READ
6361,UPDATE
2756,LOGOUT
1897,READ
9907,READ
8764,DELETE
4814,READ
7693,LOGOUT
6111,UPDATE
8715,LOGIN
7364,CREATE
6176,UPDATE
9077,READ
6981,READ
6633,DELETE
4081,UPDATE
8831,CREATE
2025,DELETE
786,UPDATE
1088,READ
5883,READ
6290,READ
2256,DELETE
8117,CREATE
5480,UPDATE
4621,READ
1162,LOGOUT
8008,LOGIN
2885,LOGOUT
3050,CREATE
9254,READ
6541,CREATE
4034,LOGIN
6110,UPDATE
3505,LOGOUT
3435,CREATE
5503,CREATE
2295,UPDATE
4303,DELETE
5346,CREATE
