app_id,amount
1650,922.75
3318,551.16
5209,374.29
5317,526.04
8643,278.41
8849,921.54
948,783.49
1998,597.87
4735,852.29
2313,587.49
1503,39.4
1033,681.47
5972,198.99
7410,936.93
7879,288.87
6761,266.46
5773,310.72
9123,670.03
1662,572.88
8009,15.88
6003,301.51
7085,474.21
1510,639.39
9072,58.27
4441,186.55
1063,440.01
1146,610.76
8812,862.9
9952,673.17
8358,812.47
146,467.46
8469,784.58
2795,122.72
7268,154.09
9739,768.13
6914,297.47
7662,97.9
7297,462.66
923,659.91
1126,23.52
5666,900.66
4172,844.06
6438,948.08
5581,98.47
3736,405.98
4516,821.34
5180,306.45
3128,407.9
5838,816.28
2005,159.79
6748,938.81
5709,972.09
1958,775.93
1090,603.9
1138,691.34
8716,270.74
4103,423.59
8847,840.15
8728,414.0
3475,536.01
5218,14.81
294,38.01
4154,518.22
9098,249.12
8539,851.81
8636,266.69
8187,443.24
709,572.5
1766,261.15
8671,108.41
9068,977.02
4985,272.09
7171,722.59
9131,549.78
6312,367.78
575,980.62
9136,706.58
6626,686.78
4362,651.56
390,882.18
1483,326.27
4583,139.68
7058,122.57
5871,463.58
7830,216.48
1189,715.55
3848,296.32
1711,860.43
271,804.58
6681,270.4
3903,437.64
5572,743.02
4910,635.78
1789,328.94
5971,549.68
6053,892.32
9725,82.74
5093,357.11
2240,538.24
1828,773.06
9813,153.43
6299,737.42
4089,418.32
8237,656.09
3455,375.91
280,253.23
587,270.37
7940,952.74
9176,825.43
4780,109.92
8041,977.91
2205,215.96
6770,798.48
365,125.18
1272,686.09
5089,15.74
1684,789.68
2539,967.99
3698,512.22
4476,703.42
2625,794.15
3647,641.2
3731,131.93
2876,48.78
8367,300.21
3438,846.23
1261,781.48
5534,530.09
9471,412.4
3831,101.91
7767,421.9
8322,298.23
4884,982.17
1528,85.33
4207,39.96
1861,993.63
7924,563.96
9894,157.99
3088,888.51
3449,709.37
6247,69.28
9284,892.94
3770,209.92
5614,555.07
7177,380.93
661,203.92
2530,603.98
2378,665.93
8371,325.68
930,761.91
9839,232.49
426,28.82
7998,658.39
3265,297.87
625,836.41
4065,764.48
1109,503.45
7489,60.5
7422,846.31
3350,791.01
7283,127.26
9998,832.07
711,586.9
827,536.66
2772,134.71
2095,604.93
2596,858.25
1572,295.02
8743,217.91
3767,953.33
1179,504.73
5414,749.51
632,827.07
3261,868.5
5517,876.4
4142,818.77
8746,660.71
5402,676.57
220,372.5
4616,454.39
5514,442.55
8813,249.39
8713,626.88
7027,651.04
1947,579.27
3143,522.79
4692,375.17
1259,178.19
1084,824.01
1025,122.35
388,419.71
1572,802.81
6471,329.22
6526,255.04
4897,505.49
7713,437.38
7594,594.57
6705,935.53
3885,763.22
7493,647.78
1183,431.9
7886,663.46
1512,614.7
3490,864.69
1671,256.99
6446,396.38
8026,400.21
1862,416.63
7879,323.72
5239,245.92
4897,421.37
1910,666.96
246,871.28
574,408.29
8128,865.83
9695,377.25
8171,367.8
9896,882.32
7654,559.02
709,67.59
4081,57.5
4704,660.19
2004,855.92
4195,478.19
5769,192.42
4997,143.49
9116,543.87
4368,139.87
8923,499.51
3404,633.87
585,198.5
7872,965.95
1633,992.51
1899,145.93
8823,968.34
9707,747.07
1322,399.13
5221,44.25
9632,497.64
5050,77.38
7153,911.31
7436,757.34
7570,850.86
6263,985.92
8739,979.45
3050,347.07
8093,754.24
5037,643.76
3393,276.38
240,528.33
3116,711.62
4787,258.52
7336,767.14
2759,453.24
8533,734.51
7975,277.21
4528,728.8
2951,549.56
3167,957.44
8019,537.0
1422,687.0
1092,38.75
617,652.72
6368,382.06
8031,429.41
459,558.29
2948,849.77
4200,943.59
641,218.39
7635,257.49
7324,612.77
7203,852.5
7137,400.2
8681,610.02
894,35.33
7658,265.86
7477,209.89
7189,399.46
2824,117.51
7262,308.58
4512,130.41
7788,624.92
7641,123.67
8895,606.38
957,833.19
7903,600.55
5294,953.59
5832,194.74
7467,818.52
8933,445.22
2361,235.0
6709,816.36
1254,504.51
3068,683.84
8997,979.61
7329,661.47
5079,55.36
7764,863.62
7287,802.45
5852,551.29
1768,528.4
6385,976.78
3016,914.2
6001,292.3
6693,772.22
4824,325.41
2471,25.56
9243,944.21
3259,258.32
7745,449.16
8588,70.57
9908,556.42
8287,908.25
6556,827.18
9572,660.72
220,301.12
6540,887.53
972,662.97
3814,592.62
536,121.18
4539,952.75
1308,574.65
9156,914.96
7256,258.68
4579,877.03
8492,284.7
6686,833.87
2772,396.76
3856,645.2
7693,513.74
2090,753.72
2756,909.6
5234,14.0
6795,598.79
5829,47.22
7507,996.44
9048,477.74
6167,986.2
1533,160.2
6055,225.87
7572,843.26
3926,381.23
4193,39.13
7188,625.93
778,478.46
8834,776.64
7224,264.45
2627,413.06
2035,661.79
659,424.12
8526,67.81
2529,986.67
4917,30.61
1815,723.35
3535,733.56
7052,252.28
5295,306.58
5365,722.79
2685,889.81
3226,353.94
4314,498.45
3611,333.1
977,347.93
4522,449.95
8253,339.51
5932,654.08
3252,736.54
5953,471.17
1479,241.8
4496,245.95
8166,485.38
8355,703.31
4712,471.37
1456,770.39
3457,442.17
9843,381.48
8643,668.64
679,280.62
8093,891.63
8159,427.2
6761,750.98
6865,311.86
4307,980.02
5177,205.51
2183,624.78
8606,968.11
5840,65.76
7711,759.4
3835,282.52
7132,734.49
6496,77.67
4425,975.73
5922,993.05
1199,669.04
4303,929.14
8400,201.93
6703,734.68
3470,893.56
8555,118.67
5804,599.05
5680,658.77
8005,644.73
5191,158.98
5983,568.14
9073,406.7
1249,575.66
8550,427.83
5406,732.42
8848,38.55
9156,214.98
3290,752.13
1736,115.16
9923,394.05
6878,195.22
856,353.33
9867,945.34
2152,538.78
1407,234.97
9699,283.48
9560,86.03
2601,172.26
365,329.76
4495,41.53
6304,85.09
244,874.41
6295,402.86
4758,31.61
7639,883.67
8350,728.18
5811,375.24
2381,749.16
9926,223.27
7062,955.83
5061,480.0
2635,948.6
3889,967.26
3263,708.5
8655,938.22
2381,714.38
9076,457.26
7185,813.96
9269,269.21
5271,513.17
6921,411.13
8455,30.43
3745,356.11
1772,802.82
7610,722.41
6628,296.5
9163,689.61
9210,521.53
8776,520.29
3025,651.43
4666,307.41
4226,919.98
4025,593.07
8126,720.12
1838,322.72
7741,362.57
8784,618.54
9181,663.85
2083,855.31
5916,961.25
3934,817.44
4809,15.32
9734,104.69
1376,524.76
3228,801.79
4634,651.48
2771,584.49
8506,684.89
7895,925.3
2012,106.08
5130,266.07
7089,915.22
6962,592.35
9658,975.39
280,184.96
9358,52.25
3176,87.15
8979,958.58
1726,847.3
4945,50.87
4804,50.82
3052,82.52
3602,970.27
7747,336.54
2662,618.67
5503,712.57
1554,325.15
2249,644.32
8668,827.67
3935,311.32
1619,278.17
643,511.87
9386,819.36
5310,641.58
1044,579.2
2074,528.89
9566,736.55
9270,184.92
9861,760.79
7006,805.5
3915,812.52
8858,282.37
7212,71.21
6704,956.32
188,776.5
386,301.21
2163,808.88
9713,709.31
4041,817.32
1283,184.66
2133,126.13
4331,564.36
7299,841.26
7384,48.68
5063,258.83
1736,356.81
4972,743.06
5702,191.99
41,729.82
9917,61.99
6662,965.37
2135,447.27
2162,352.42
5015,776.04
15,188.34
6378,367.73
8750,377.43
6925,462.84
8058,597.13
5273,487.57
3622,592.48
7286,813.9
4104,653.21
6427,323.84
2923,527.79
7736,347.93
1394,555.59
5288,323.11
2856,221.05
1374,66.14
2759,412.72
8337,26.01
5040,914.58
4211,242.76
6245,477.37
1458,803.38
226,324.87
3536,11.62
4060,630.43
3187,424.37
7815,142.92
3456,777.82
3539,877.75
7691,400.87
6245,885.93
2523,285.25
469,11.45
2131,274.7
933,180.8
6828,530.87
9446,60.48
8514,694.46
1594,636.33
5780,95.35
9622,757.88
7439,610.22
2763,243.66
4491,932.9
7522,856.97
9555,46.24
8726,140.77
7810,578.63
3264,512.36
3711,553.76
6328,19.56
7423,832.84
9025,883.17
2322,91.96
9881,244.49
1431,866.62
7144,364.89
6553,678.98
5981,744.13
5286,782.29
9725,490.64
6789,851.42
7765,375.96
6681,776.81
3890,252.43
5478,949.28
4045,862.53
4021,420.69
225,975.94
8147,329.72
7782,644.06
7203,738.45
7187,379.48
4920,723.54
2979,590.41
5533,302.84
8675,283.73
8458,420.94
2286,727.57
3303,408.93
3395,299.3
6796,701.8
2081,364.17
7357,446.12
9478,485.62
4638,915.9
2228,89.51
7526,973.3
1064,674.52
3105,753.43
514,183.16
3946,977.73
9709,200.83
2761,36.3
3858,874.8
3835,838.87
9512,739.91
3627,723.29
687,35.55
8024,850.77
6698,869.3
5093,570.99
8790,408.41
4907,406.61
